zip_code,zip_city,municipal_code,municipal_number
0494,OSLO,0301,OSLO
0495,OSLO,0301,OSLO
0496,OSLO,0301,OSLO
0501,OSLO,0301,OSLO
0502,OSLO,0301,OSLO
0503,OSLO,0301,OSLO
0504,OSLO,0301,OSLO
0505,OSLO,0301,OSLO
0506,OSLO,0301,OSLO
0507,OSLO,0301,OSLO
0508,OSLO,0301,OSLO
0509,OSLO,0301,OSLO
0510,OSLO,0301,OSLO
0511,OSLO,0301,OSLO
0512,OSLO,0301,OSLO
0513,OSLO,0301,OSLO
0515,OSLO,0301,OSLO
0516,OSLO,0301,OSLO
0517,OSLO,0301,OSLO
0518,OSLO,0301,OSLO
0520,OSLO,0301,OSLO
0540,OSLO,0301,OSLO
0550,OSLO,0301,OSLO
0551,OSLO,0301,OSLO
0552,OSLO,0301,OSLO
0553,OSLO,0301,OSLO
0554,OSLO,0301,OSLO
0555,OSLO,0301,OSLO
0556,OSLO,0301,OSLO
0557,OSLO,0301,OSLO
0558,OSLO,0301,OSLO
0559,OSLO,0301,OSLO
0560,OSLO,0301,OSLO
0561,OSLO,0301,OSLO
0562,OSLO,0301,OSLO
0563,OSLO,0301,OSLO
0564,OSLO,0301,OSLO
0565,OSLO,0301,OSLO
0566,OSLO,0301,OSLO
0567,OSLO,0301,OSLO
0568,OSLO,0301,OSLO
0569,OSLO,0301,OSLO
0570,OSLO,0301,OSLO
0571,OSLO,0301,OSLO
0572,OSLO,0301,OSLO
0573,OSLO,0301,OSLO
0574,OSLO,0301,OSLO
0575,OSLO,0301,OSLO
0576,OSLO,0301,OSLO
0577,OSLO,0301,OSLO
0578,OSLO,0301,OSLO
0579,OSLO,0301,OSLO
0580,OSLO,0301,OSLO
0581,OSLO,0301,OSLO
0582,OSLO,0301,OSLO
0583,OSLO,0301,OSLO
0584,OSLO,0301,OSLO
0585,OSLO,0301,OSLO
0586,OSLO,0301,OSLO
0587,OSLO,0301,OSLO
0588,OSLO,0301,OSLO
0589,OSLO,0301,OSLO
0590,OSLO,0301,OSLO
0591,OSLO,0301,OSLO
0592,OSLO,0301,OSLO
0593,OSLO,0301,OSLO
0594,OSLO,0301,OSLO
0595,OSLO,0301,OSLO
0596,OSLO,0301,OSLO
0597,OSLO,0301,OSLO
0598,OSLO,0301,OSLO
0601,OSLO,0301,OSLO
0602,OSLO,0301,OSLO
0603,OSLO,0301,OSLO
0604,OSLO,0301,OSLO
0605,OSLO,0301,OSLO
0606,OSLO,0301,OSLO
0607,OSLO,0301,OSLO
0608,OSLO,0301,OSLO
0609,OSLO,0301,OSLO
0611,OSLO,0301,OSLO
0612,OSLO,0301,OSLO
0613,OSLO,0301,OSLO
0614,OSLO,0301,OSLO
0615,OSLO,0301,OSLO
0616,OSLO,0301,OSLO
0617,OSLO,0301,OSLO
0618,OSLO,0301,OSLO
0619,OSLO,0301,OSLO
0620,OSLO,0301,OSLO
0621,OSLO,0301,OSLO
0622,OSLO,0301,OSLO
0623,OSLO,0301,OSLO
0624,OSLO,0301,OSLO
0626,OSLO,0301,OSLO
0650,OSLO,0301,OSLO
0651,OSLO,0301,OSLO
0652,OSLO,0301,OSLO
0653,OSLO,0301,OSLO
0654,OSLO,0301,OSLO
0655,OSLO,0301,OSLO
0656,OSLO,0301,OSLO
0657,OSLO,0301,OSLO
0658,OSLO,0301,OSLO
0659,OSLO,0301,OSLO
0660,OSLO,0301,OSLO
0661,OSLO,0301,OSLO
0662,OSLO,0301,OSLO
0663,OSLO,0301,OSLO
0664,OSLO,0301,OSLO
0665,OSLO,0301,OSLO
0666,OSLO,0301,OSLO
0667,OSLO,0301,OSLO
0668,OSLO,0301,OSLO
0669,OSLO,0301,OSLO
0670,OSLO,0301,OSLO
0671,OSLO,0301,OSLO
0672,OSLO,0301,OSLO
0673,OSLO,0301,OSLO
0674,OSLO,0301,OSLO
0675,OSLO,0301,OSLO
0676,OSLO,0301,OSLO
0677,OSLO,0301,OSLO
0678,OSLO,0301,OSLO
0679,OSLO,0301,OSLO
0680,OSLO,0301,OSLO
0681,OSLO,0301,OSLO
0682,OSLO,0301,OSLO
0683,OSLO,0301,OSLO
0684,OSLO,0301,OSLO
0685,OSLO,0301,OSLO
0686,OSLO,0301,OSLO
0687,OSLO,0301,OSLO
0688,OSLO,0301,OSLO
0689,OSLO,0301,OSLO
0690,OSLO,0301,OSLO
0691,OSLO,0301,OSLO
0692,OSLO,0301,OSLO
0693,OSLO,0301,OSLO
0694,OSLO,0301,OSLO
0701,OSLO,0301,OSLO
0702,OSLO,0301,OSLO
0705,OSLO,0301,OSLO
0710,OSLO,0301,OSLO
0712,OSLO,0301,OSLO
0750,OSLO,0301,OSLO
0751,OSLO,0301,OSLO
0752,OSLO,0301,OSLO
0753,OSLO,0301,OSLO
0754,OSLO,0301,OSLO
0755,OSLO,0301,OSLO
0756,OSLO,0301,OSLO
0757,OSLO,0301,OSLO
0758,OSLO,0301,OSLO
0760,OSLO,0301,OSLO
0763,OSLO,0301,OSLO
0764,OSLO,0301,OSLO
0765,OSLO,0301,OSLO
0766,OSLO,0301,OSLO
0767,OSLO,0301,OSLO
